id,phase,epic,title,priority,depends_on,acceptance,estimate_class,gap_ids,review_scope,validation_status
B011,A:S01,Architecture,Define capability and adapter contracts,P0,B009,"Capabilities include device software channels timing and supported operations Review UX-G02: A profile resolves required versus optional streams, exact task/input variants and lab versus webcam qualifications; selecting it updates protocol/preflight/report eligibility, and an unsupported combination produces a scoped remedy. Review BIO-G01: Same-name source ambiguity blocks arming; failed required recorder prevents first scientific stimulus; failed stop or missing final chunk yields a recoverable partial manifest. GUI/network loss cannot stop a qualified local recording or trigger silent trial replay. Review BIO-G11: The capability registry distinguishes planned/imported/acquired/method-qualified support. Unknown generic voltage streams cannot be advertised as ECG/HRV. Later pack manifests require sensor/site/unit/timebase, event detection, artifact decisions and method-specific benchmarks. Review ARC-G07: Updating plugin or model creates a new derivative provenance chain; unsupported protocol fails before arm. A named old report remains interpretable/reproducible under published retention policy. Unlicensed model weights cannot enter redistributable release through an MIT wrapper.",M,ARC-G07;BIO-G01;BIO-G11;UX-G02;UX-G06,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B012,A:S01,Acquisition research,Confirm reference rig access and SDK feasibility,P0,B011,Eye EEG EDA and AAT hardware access and SDK distribution constraints recorded,M,UX-G02,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B013,A:S02,Guided UX,Implement accessible guided shell,P0,B003,All five stages work with keyboard visible focus and semantic headings Review ARC-G01: Switching paired to independent/multi-item design cannot retain old paired current results. Reload and Advanced↔Guided round-trip reconstruct the same revision; two-editor conflicts are explicit. Every visible enabled action has a tested command or local-only state label.,M,ARC-G01;UX-G11,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B014,A:S02,Guided UX,Provide contextual advanced workbench,P0,B013,Advanced edits affect the same manifest and returning preserves guided position,M,ARC-G01,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B015,A:S02,Guided UX,Install synthetic first-study sample,P0,B005;B008,"Sample loads without hardware or participant records and clearly labels synthetic data Review UX-G03: Clean sample has no compulsory AOI exception; exception practice is separate. Creating a real study from the sample copies design/assets only as explicitly selected, never synthetic observations, and preserves the five-activation whole-path target.",S,UX-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B016,A:S02,Persistence,Create local workspace and study store,P0,B009,"Studies persist across restart and use stable identifiers Review ARC-G06: Cloud UI cannot claim direct USB discovery. Shiny process crash preserves capture/jobs; worker load does not starve configured recorder capacity. Local→shared backup/restore retains IDs, hashes and decisions. Participant tokens cannot read unrelated sessions or submit code.",M,ARC-G01;ARC-G06;UX-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B017,A:S02,Persistence,Store immutable raw objects and content hashes,P0,B016,Reimport detects identical content and derived edits never overwrite raw objects Review ARC-G03: Out-of-order duplicates deduplicate; same sequence/different hash quarantines; dropped last chunk blocks verified completion. Reload/network reconnect never silently replays a presented trial. Quota-full results remain recoverable/partial with explicit missing intervals.,M,ARC-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B018,A:S02,Persistence,Freeze configuration and environment manifest,P0,B016,Study recipe and package versions export and round-trip deterministically,M,ARC-G01;ARC-G02;ARC-G07,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B019,A:S02,Data foundation,Define eye stream units and coordinate fields,P0,B009,"Source and display coordinates units validity and eye identity retained Review BIO-G02: Round-trip retains physical channel mapping and reference; changed camera/viewport, EEG reference or sensor replacement invalidates affected readiness. A vendor contact score cannot be displayed as measured impedance unless that is its documented quantity. Sample mode requires no fitting.",S,BIO-G02,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B020,A:S02,Data foundation,Define EEG channels montage and reference fields,P0,B009,Channel types units reference montage sample rate and events survive round-trip,S,BIO-G02,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B021,A:S02,Data foundation,Define EDA signal and placement fields,P0,B009,"Conductance units placement sample rate and clock metadata retained Review BIO-G05: Known unit scaling, nonresponse, disconnected flatline, overlap, edge-truncated peak and inadequate baseline each yield their declared distinct result. A phasic-only source cannot produce tonic SCL. Missing windows do not become zero-amplitude responses. Passive and active-rating windows cannot be conflated.",S,BIO-G02;BIO-G05,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B022,A:S02,Data foundation,Define behavioural trial and response events,P0,B009,Planned observed stimulus response accuracy input and interruption fields retained,S,,,Planned; implementation and validation remain
B023,A:S03,Import,Implement selected eye export importer,P0,B017;B019,Golden fixture matches expected samples events and metadata,M,,,Planned; implementation and validation remain
B024,A:S03,Import,Implement selected EEG reference format importer,P0,B017;B020,Golden fixture matches channels signal values events and reference metadata,M,,,Planned; implementation and validation remain
B025,A:S03,Import,Implement selected EDA format importer,P0,B017;B021,Golden fixture matches conductance units timestamps and sensor metadata,M,,,Planned; implementation and validation remain
B026,A:S03,Import,Implement generic trial event and survey import,P0,B017;B022;B010,Supported tables link unambiguously to participant stimulus and question revisions,M,,,Planned; implementation and validation remain
B027,A:S03,Import,Build mapping preview and reusable mapping presets,P0,B023;B024;B025;B026,User sees example rows units and time mappings before commit,M,,,Planned; implementation and validation remain
B028,A:S03,Import,Validate malformed and ambiguous imports locally,P0,B027,"Missing columns mixed units and duplicate identifiers yield scoped repair actions Review IM-G07: Preserve cue/fixation/stimulus/first-response/correction/movement/feedback epochs separately, including first and final-correct latency. Questionnaire interaction is a separate epoch from passive viewing; phase joins and ordering pass fixtures.",M,IM-G07,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B029,A:S03,Synchronization,Preserve original clocks and explicit transforms,P0,B009;B023;B024;B025,Aligned views retain original timestamps transform method and uncertainty Review BIO-G03: Known display delay cannot disappear after LSL offset correction. Source restart creates a new segment; deliberately injected drift/tail failure disables the affected ERP/RT output or marks an explicit limitation according to its frozen profile. Broad AOI summaries can remain eligible when a fine timing method is not.,M,ARC-G03;BIO-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B030,A:S03,Synchronization,Detect gaps drift and non-monotonic time,P0,B029,Known corrupted fixtures produce correctly scoped timing flags,M,BIO-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B031,A:S03,Session explorer,Link stimulus events and multimodal time cursor,P0,B029,Selected event positions eye EEG EDA and behavioural traces consistently Review ARC-G08: 64-channel viewport and AOI/media cursor never load full study into Shiny memory. Overlarge request is rejected or becomes a job. Lost status events recover via cursor/status refresh; no fabricated completion percentages. Measure keyboard equivalence and existing p95 budgets.,M,ARC-G08,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B032,A:S04,Execution,Implement durable job state machine,P0,B018,"Queued running failed cancelled and completed states survive app restart Review UX-G09: UI status derives from saved JobRecord/artifact/review state and restores via durable event cursor; source-linked errors distinguish retryable execution failure from a scientific decision. Idempotent retry publishes one logical result and keeps reusable completed work. Review ARC-G04: Crashes before/after SQL commit, delivery, output write and promotion yield no lost accepted job or duplicate current artifact. Old worker cannot promote under expired lease. Render retry reuses pinned computed results without rerunning science.",M,ARC-G04;UX-G09,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B033,A:S04,Execution,Implement idempotent retry and bounded resume,P0,B032,Interrupted fixture resumes without duplicate artefacts,M,ARC-G04;UX-G09,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B034,A:S04,Execution,Implement dependency cache and invalidation,P0,B032,Changed parameter invalidates only affected descendants and never serves stale output as current,M,ARC-G04;UX-G09,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B035,A:S04,Execution,Expose job progress with useful units,P0,B032,Progress distinguishes completed work and indeterminate phases without fabricated percentages,S,ARC-G08;UX-G09,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B036,A:S04,Scientific processing,Implement gaze validity and fixation reference,P0,B023;B008;B034,Named algorithm agrees with independently checked fixture within declared tolerance,M,BIO-G06,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B037,A:S04,Scientific processing,Implement initial EDA preparation recipe,P0,B025;B008;B034,Filtering baseline and artefact outputs agree with selected reference,M,BIO-G05,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B038,A:S04,Scientific processing,Implement qualified EEG processing bridge,P0,B024;B008;B034,"R submits versioned configuration and retains exact bridge output provenance Review BIO-G04: A fixture with rank reduction, removed intervals, channel permutation and known spectral components produces expected units/features. Filtering does not cross declared gaps; ICA flags alone do not subtract components. Automated repair and rejection produce distinct masks and counts.",M,BIO-G04,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B039,A:S04,Scientific processing,Implement EEG channel and segment QC,P0,B038,Known bad channels and segments remain inspectable with reason codes,M,BIO-G04,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B040,A:S05,Study builder,Implement stimulus asset library and assignments,P0,B016,Assets retain hashes dimensions duration condition and rights metadata,M,ARC-G02;UX-G01,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B041,A:S05,Study builder,Implement flow blocks and keyboard reordering,P0,B013;B018,Instruction calibration trial question and break blocks reorder without dragging,M,ARC-G02;UX-G01;UX-G08,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B042,A:S05,Study builder,Generate seeded counterbalanced allocation,P0,B005;B041,Same seed and manifest reproduce valid participant schedules,M,UX-G01;UX-G07,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B043,A:S05,Study builder,Lint missing assets and unreachable task paths,P0,B040;B041,Invalid study fixtures identify offending block and prevent unsafe launch,M,,,Planned; implementation and validation remain
B044,A:S05,Study builder,Freeze protocol and display revision diff,P0,B018;B041,Launched revision never mutates and edits list affected pilots and outputs,M,UX-G01;UX-G13,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B045,A:S05,Questionnaire,Build question editor and data dictionary,P0,B010;B041,Stable IDs labels stored codes and missing states appear in generated dictionary,M,,,Planned; implementation and validation remain
B046,A:S05,Questionnaire,Implement single and multiple choice types,P0,B045,Keyboard response validation and stored option codes match displayed revision,M,,,Planned; implementation and validation remain
B047,A:S05,Questionnaire,Implement text and numeric entry types,P0,B045,Allowed values and readable validation work with keyboard and mobile layout,M,,,Planned; implementation and validation remain
B048,A:S05,Questionnaire,Implement explicit liking Likert recipe,P0,B045;B046,Template attaches coded liking response to correct stimulus and condition,S,,,Planned; implementation and validation remain
B049,A:S05,Questionnaire,Implement question display and branch logic,P0,B045,Test paths record shown hidden and skipped questions distinctly,M,UX-G05;UX-G08;UX-G10;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B050,A:S05,Questionnaire,Implement typed variables and safe text piping,P0,B045,Invalid references caught before launch and displayed text recorded per response,M,UX-G08,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B051,A:S05,Questionnaire,Implement bounded question and block randomization,P0,B042;B045,Option and block order reproduce from seed while anchored options remain fixed,M,UX-G05;UX-G08,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B052,A:S05,Questionnaire,Lint invalid survey dependencies and validation,P0,B049;B050;B051,"Cycles unreachable items and hidden-required combinations produce actionable errors Review UX-G08: Moving a referenced source across an evaluation boundary identifies the affected node, retains undo and invalidates only affected preview evidence. Rehearse invalid answers as well as valid paths; preserve entered values and distinguish validation attempts from accepted-answer events.",M,ARC-G02;UX-G05;UX-G08,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B053,A:S06,Questionnaire,Build survey path debugger,P0,B052,"Researcher can inspect variables and reason for each branch on a chosen path Review UX-G05: Participant-runtime preview differs visibly from author inspect-all; save revision, seed, initial state, inputs and actual branch trace. Inspect-all earns no runtime pass credit; preview effects and observations cannot affect live devices, quotas or results. Coverage limits are defined under B146.",M,ARC-G02;UX-G05;UX-G08,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B054,A:S06,Questionnaire,Implement accessible slider with numeric alternative,P1,B045,Keyboard and alternative input produce identical stored value and label,M,,,Planned; implementation and validation remain
B055,A:S06,Questionnaire,Implement responsive matrix as equivalent item list,P1,B045,Small-screen and keyboard versions retain item IDs scales and response meaning,M,UX-G04;UX-G11,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B056,A:S06,Runner,Isolate timed trial execution from server loop,P0,B022;B041,Client executes preloaded trial schedule without server round-trip onset dependency,M,IM-G07;UX-G05;UX-G08,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B057,A:S06,Runner,Preload and validate stimulus resources,P0,B040;B056,Missing resources detected before scored block begins,S,,,Planned; implementation and validation remain
B058,A:S06,Runner,Implement static visual-viewing block,P0,B056;B005,Observed events and exposure duration match supported execution protocol,M,,,Planned; implementation and validation remain
B059,A:S06,Runner,Implement BIAT focal-category blocks,P0,B006;B056,Fixture matches exact block order category mappings practice and correction behaviour,M,IM-G01;IM-G02,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B060,A:S06,Runner,Implement AAT input contract and practice,P0,B007;B056,Recorded direction onset completion and errors follow specified input mapping,M,IM-G01;IM-G02;IM-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B061,A:S06,Runner,Implement questionnaire blocks in shared flow,P0,B046;B047;B049;B056,Question presentation and response events link to study stimulus and condition,M,,,Planned; implementation and validation remain
B062,A:S06,Runner,Record browser focus and trial interruption,P0,B056,Focus loss flags correct trials and applies declared retry or exclusion rule,M,ARC-G03;UX-G07,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B063,A:S06,Runner,Persist questionnaire progress checkpoints,P0,B061,"Restart preserves answered items without pretending interrupted timed trials resumed cleanly Review IM-G06: Use source-linked rehearsal traces for instructions, practice/correction, response mappings and missing variables. Preview cannot affect live quotas or cohorts. A diagnostic event must identify the exact trial and compiled source node.",M,IM-G06;UX-G05;UX-G07;UX-G08;UX-G10;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B064,A:S06,Runner,Build pilot and readiness summary,P0,B043;B052;B057,"Launch identifies missing prerequisites unsupported inputs and stale pilot evidence Review UX-G06: Separate protocol, consent, connection, timing, signal, calibration and storage/transport evidence; bind checks to device/config/browser fingerprints and expiry, invalidate only affected checks, and present one local repair action per blocker. Define the contract early, then qualify hardware behavior at its existing rig gate. Review UX-G06,UX-G11: Exercise denied/ignored permission, changed camera/display/config, expired calibration and poor-light recovery; successful unrelated checks survive, stale passes do not. Use real browser/OS/hardware fixtures at the existing qualification gates.",M,UX-G02;UX-G06;UX-G11,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B065,A:S06,Timing qualification,Build stimulus and response timing harness,P0,B012;B056;B206,Physical measurements distinguish onset accuracy response offset and variability,L,BIO-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B066,A:S06,Timing qualification,Record execution configuration matrix,P0,B065,Each result states tested OS browser display input and protocol,S,ARC-G02;UX-G06,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B067,A:S06,Runner,Verify counterbalancing and condition logs,P0,B042;B059;B060,Independent trace check confirms mappings and allocations for each supported task,M,IM-G06,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B068,A:S07,AOI foundation,Version AOI identity semantics and geometry,P0,B019;B018,AOI export retains category stimulus revision coordinate system and review state Review ARC-G05: A concurrent old analysis cannot overwrite new current results. Undo creates a new revision. Outcome-blind correction policy is recorded. Aggregate cohort changes invalidate more than the edited stimulus where necessary; clean approved AOIs add no compulsory review clicks.,M,ARC-G05;UX-G04,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B069,A:S07,AOI editor,Implement rectangle ellipse and polygon tools,P0,B068,Geometry round-trip preserves vertices and valid shape constraints,M,,,Planned; implementation and validation remain
B070,A:S07,AOI accessibility,Implement synchronized AOI object table,P0,B069,Keyboard can select rename move resize and delete with undo,M,UX-G04;UX-G11,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B071,A:S07,AOI accessibility,Implement numeric coordinate and geometry editing,P0,B070,"Canvas and table changes stay synchronized and usable without dragging Review UX-G04,UX-G11: B071 verifies canvas/table geometry equality and keyboard undo; B055 verifies row/option IDs, anchors and scale direction across table/stacked layouts. B115/B116 exercise the end-to-end assistive-technology tasks.",M,UX-G04;UX-G11,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B072,A:S07,AOI foundation,Implement stimulus-to-display coordinate transform,P0,B019;B040;B068,Golden points map correctly under scaling letterboxing cropping and viewport changes,M,,,Planned; implementation and validation remain
B073,A:S07,AOI foundation,Implement hierarchy overlap and padding policies,P0,B068;B072,Exclusive multiple-membership and parent rules produce expected fixture membership,M,BIO-G06,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B074,A:S07,AOI foundation,Track approval rejection and review revisions,P0,B068,"Unapproved proposals cannot enter approved metrics without explicit policy Review UX-G04: Bind each decision to its exact artifact hash; stale approval fails safely. Undo/edit invalidates affected cards, review geometry matches the described semantic target, and final publication requires the relevant review snapshot while provisional unaffected cards remain labelled.",M,ARC-G05;UX-G04,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B075,A:S07,AOI automation,Propagate approved static-layout template,P0,B069;B072;B074,Preview shows affected stimuli and exceptions before reversible apply,M,,,Planned; implementation and validation remain
B076,A:S07,AOI automation,Integrate optional static semantic proposals,P1,B068;B074,Proposal origin model version and unknown calibration are visible,M,,,Planned; implementation and validation remain
B077,A:S07,AOI foundation,Implement gaze-to-approved-AOI mapping,P0,B036;B072;B073;B074,Independent fixture validates membership with invalid gaze and overlap handling,M,BIO-G06,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B078,A:S07,AOI foundation,Invalidate mapping after stimulus or AOI edit,P0,B034;B077,Affected outputs become stale and rerun uses exact approved revision,S,ARC-G05;UX-G04,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B079,A:S08,Quality review,Define modality-specific validity masks,P0,B036;B037;B039,Missing EEG does not silently invalidate usable eye EDA or survey data Review BIO-G08: A fixture with usable liking but missing eye/EEG preserves liking-only N and gives the correct smaller paired/joint N. Repeated trials increase observations but not independent participants. Delayed EDA and joystick movement/rating epochs preserve overlap tags and cannot become independent stimulus responses by ID join alone. Review BIO-G09: Waiving missing calibration cannot manufacture method eligibility. No valid data yields unavailable output rather than zero effect. Changed inputs invalidate affected approvals. A permitted eye-only report clearly states missing EEG while a full-rig final report remains blocked.,M,BIO-G08;BIO-G09;UX-G05;UX-G10;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B080,A:S08,Quality review,Build linked signal stimulus and event review,P0,B031;B079,Selected exclusion highlights correct time range across available modalities,M,BIO-G09,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B081,A:S08,Quality review,Build root-cause exception inbox,P0,B028;B030;B079,Repeated cause groups affected objects while unrelated failures remain separate,M,BIO-G09;UX-G09,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B082,A:S08,Quality review,Implement reason-coded exclusion layers,P0,B079;B080,Raw data preserved and every segment session or trial exclusion is attributable,M,BIO-G09;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B083,A:S08,Quality review,Preview bulk corrections and downstream impact,P0,B081;B082;B034,Batch action lists scope supports undo and invalidates only affected results Review UX-G15: Researcher correction appends a reason and shows analytical effects without inventing exposures. B063 owns participant return/replay under the frozen flow with superseded answers and new actual exposure instances; B010 owns origin/progress/eligibility fields. Both preserve original history and invalidate only affected outputs.,M,ARC-G05;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B084,A:S08,Quality review,Implement deferred and waived exception states,P0,B081,Waiver records reason report scope and unresolved limitation without deleting evidence,S,BIO-G09;UX-G04;UX-G09,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B085,A:S08,AOI review,Build static batch contact sheet,P0,B074;B075,Keyboard review can approve reject or edit each proposal with traceability,M,,,Planned; implementation and validation remain
B086,A:S08,AOI benchmark,Create independently annotated static holdout,P0,B008;B068,Corpus covers small text layout variation overlap and no-target examples,M,BIO-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B087,A:S08,AOI benchmark,Compare corrected metric error and review time,P0,B077;B085;B086,Benchmark measures metric disagreement and human review effort at matched quality,M,BIO-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B088,A:S08,Quality review,Implement explicit unavailable-result states,P0,B079,Zero data absent condition and unavailable modality show truthful reasons,S,UX-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B089,A:S09,Analysis automation,Generate analysis plan from selected recipe,P0,B005;B044,Primary contrast exclusions units and model are inspectable without parameter selection,M,BIO-G06;UX-G01,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B090,A:S09,Analysis automation,Compute eye attention metric definitions,P0,B077;B089,Dwell visits and denominators match independent fixtures with versioned definitions,M,UX-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B091,A:S09,Analysis automation,Implement paired participant-level A/B comparison,P0,B090;B089,Paired analysis uses participant units and reports effect interval valid count and exclusions,M,BIO-G06;BIO-G08;UX-G10;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B092,A:S09,Analysis automation,Define repeated trial and item model contract,P0,B089,Recipe declares aggregation or qualified mixed model and prevents fixation pseudo-replication,M,,,Planned; implementation and validation remain
B093,A:S09,Analysis automation,Represent TTFF events censoring and missingness,P0,B077;B079,Never-looked tracking-loss and observed-fixation states remain distinguishable,M,BIO-G06;UX-G10;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B094,A:S09,Analysis automation,Implement target-search success and latency recipe,P0,B093;B089,Outputs include success denominator and appropriate censored-latency analysis,M,,,Planned; implementation and validation remain
B095,A:S09,Analysis automation,Implement named BIAT scoring with reference check,P0,B006;B059;B008,Independent expected values validate scoring warmup and exclusion handling,M,IM-G01;IM-G02,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
